userId,user_avg_amount,user_avg_lat,user_avg_lon
user_0,3916.3872,14.431000119999998,80.54133603999999
user_1,4349.9675,12.369885625,77.17782720833334
user_10,4140.515416666666,15.496285333333333,81.55742916666667
user_100,1426.4751851851852,12.832824962962961,77.45787848148149
user_1000,3313.6924,12.53096572,76.96060924
user_1001,4556.799411764706,12.22009782352941,78.35404870588235
user_1002,875.944,13.2244342,77.00329206666667
user_1003,1261.6190909090908,13.506645909090908,78.19243613636364
user_1004,962.7696000000001,13.016309080000001,78.41651848
user_1005,2672.714705882353,12.106568529411765,77.43335729411764
user_1006,1782.114347826087,11.847199956521738,78.53857852173914
user_1007,1149.6145833333333,12.185304291666666,77.66007233333333
user_1008,3071.6452173913044,12.854585217391305,77.82975578260869
user_1009,4340.444666666666,12.187949,76.91993473333333
user_101,4016.1082142857144,13.181601607142856,76.77983428571429
user_1010,5892.010370370371,12.91845637037037,77.56568048148148
user_1011,5739.660454545455,13.210155227272729,67.80100709090908
user_1012,1513.3076190476193,15.539662714285715,68.12920628571429
user_1013,3169.576923076923,13.002005346153847,76.81500888461538
user_1014,2535.1808695652176,12.103996826086957,77.64962260869565
user_1015,2400.8455,13.1363104,76.92377259999999
user_1016,3856.41,12.874542217391303,78.1414766521739
user_1017,3705.9466666666667,11.788252142857143,69.41329814285714
user_1018,2344.142380952381,13.084323571428573,77.43688714285715
user_1019,1865.6765,13.33017935,77.88092725
user_102,4567.180869565217,13.701070217391305,75.814808
user_1020,3978.7415625,12.54938121875,78.26907771875
user_1021,653.0937037037037,12.809515740740741,76.26919055555555
user_1022,4202.6277272727275,13.374802681818181,78.34443281818182
user_1023,2892.2,15.62381564,69.8456512
user_1024,2163.6485714285714,14.108281642857142,78.19551535714287
user_1025,2938.900344827586,12.82992775862069,77.32469537931034
user_1026,4082.9676470588233,8.624573705882353,64.38826023529411
user_1027,1778.091052631579,13.20201752631579,76.26380257894738
user_1028,552.2673913043478,13.886445086956522,78.33331152173913
user_1029,3471.686875,13.60447009375,76.9249905
