userId,transactionId,amount,txn_date,txn_latitude,txn_longitude,is_anomaly
user_1305,a9a0e79e-4b17-492e-89b9-5e48473c56b2,7193.38,11-02-2024 05:39,13.134193,77.078754,FALSE
user_2782,fb95f1e9-c74b-4b19-af62-d072c384650a,11729.41,17-07-2024 16:37,12.569863,77.494159,FALSE
user_2615,0d510510-8445-48f4-852e-bfb6e3601175,12619.87,10-01-2024 01:52,12.818951,77.270831,FALSE
user_380,6084847e-62c1-4ee5-8416-2b30ca634c54,4611.27,13-06-2025 00:39,13.564693,77.184185,FALSE
user_2174,90a503d8-cf25-4f0b-b14e-b6d6e690047f,1626.21,08-09-2024 05:46,13.479164,77.699319,TRUE
user_1087,4ab66440-0eee-4a7b-ba4d-fa6a238e967a,5644.31,25-11-2023 15:19,12.483164,77.544912,FALSE
user_163,99d432ea-50de-4bf4-8149-017791971bd5,14238.6,11-08-2025 13:06,13.554389,77.233642,FALSE
user_2637,68393d85-e476-4b6a-965a-60c1b78ca463,8938.05,29-09-2023 21:13,13.831891,77.739835,FALSE
user_140,356a01df-1921-471f-9404-7bae7d2bbe19,5148.72,09-10-2024 06:36,12.432036,77.503702,FALSE
user_908,1b468d56-570e-47c3-bd4d-976fbad4ea21,839.58,16-01-2024 03:31,13.965028,77.687146,FALSE
user_1296,e8c80f5b-874d-4295-9ddd-0c1c6cce1681,14075.74,21-09-2023 08:17,13.205904,77.221819,FALSE
user_1125,b7dd13e6-aec3-4ab0-a415-dadc8d489244,8634.06,21-02-2024 01:34,13.208954,77.469509,FALSE
user_1965,f208e1c0-90f6-4c48-a50c-94952c94821a,17657.93,11-01-2025 08:22,12.790067,77.398325,FALSE
user_2676,f1652b13-58fc-47b7-8345-ca000b1195fc,2096.02,04-06-2025 18:31,13.834888,77.810368,FALSE
user_345,fa65bb0e-faa6-4ac8-bd0a-0e0d1caac644,14340.08,22-09-2024 02:58,13.230215,77.248845,FALSE
user_1982,f85eae9b-43fd-4ec5-9fa7-c667b8a4a305,4192.14,10-12-2024 19:30,13.538695,77.983145,FALSE
user_2166,748e3dca-cb7d-4fb7-8584-8baa1722d6cb,15020.36,16-08-2024 21:04,12.608189,77.945287,FALSE
user_1559,cbf0031e-1db4-4cec-9b51-59edd944a792,4882.73,05-04-2024 02:09,13.220031,77.749944,FALSE
user_2611,edbcb860-e047-40e6-985f-82e689b66370,11496.95,10-06-2025 02:53,12.826771,77.485888,FALSE
user_1710,a703c680-be54-4903-8ccf-0d323beb83ea,7714.19,15-05-2024 07:24,13.222085,77.66433,FALSE
user_825,1fc72b31-3b17-4e17-8dd9-51261b054aa9,2042.72,07-02-2024 08:52,13.417324,77.584788,FALSE
user_2708,08aca24d-fec2-457f-bbf3-fabd934167ef,6930.49,29-01-2025 12:06,12.133026,77.542591,FALSE
user_2031,a5fd1b07-ab3b-4fd7-8896-29f669e6c42d,8197.49,04-10-2024 04:25,13.881179,77.513595,FALSE
user_1727,38b99b0d-b675-4d0f-83d2-8faa5c618b62,4445.88,10-04-2024 22:34,13.180603,77.164812,FALSE
user_2440,6dba5b93-24aa-4ff8-be32-3c759ad4d5d4,19346.78,02-08-2025 03:46,13.003371,77.841377,TRUE
user_188,e7c624ff-3bba-4575-ad3f-4449f9c109ea,4732.88,24-07-2024 14:53,12.249389,77.403838,FALSE
user_962,fe83ef19-c503-40cb-b4e1-47513cab798b,6121.9,31-10-2023 16:41,13.434613,77.952081,FALSE
user_1700,1142aff6-5ff0-4810-b042-d044e1cdac5a,16839.85,24-04-2024 14:41,13.454077,77.429675,FALSE
user_1048,1100ef2b-1965-47d5-b8bc-c86d13ac5784,354.02,19-06-2025 08:55,12.404638,77.955844,FALSE
user_1561,17c1a3cd-7b3d-4396-9d52-520f48567b45,12737.77,12-03-2025 22:03,13.047137,77.925262,TRUE
user_2885,76d83e34-d4b3-4a6f-a44d-5d05e729b501,3479.51,09-06-2025 12:49,13.170031,77.37291,FALSE
user_2633,be782927-3c04-43bb-b291-d4953a1d08af,6593.04,04-02-2024 03:06,13.835047,77.191748,FALSE
user_1521,28d756f4-7824-4f55-aa7c-1040ac2566b8,12237.63,04-01-2024 18:43,13.98016,77.384948,FALSE
user_1389,807e095d-e30d-4ded-8d45-6a974c61b289,12468.33,19-03-2024 17:15,13.290468,77.73374,FALSE
user_96,22d1e4fe-b9de-4638-b5f6-9663c791e44d,1004.45,12-11-2024 09:15,13.48195,77.590968,FALSE
user_2,f4b130fc-7aaa-4169-8df2-45db170a4195,14965.72,30-12-2023 22:27,12.965711,77.939859,FALSE
user_705,b59c81b6-c9e5-46cd-9fd9-56887f562411,7211.08,07-08-2024 04:48,12.724219,77.835625,FALSE
user_1295,eadad73c-84cf-4075-b2c7-358f855476e7,959.65,14-11-2024 16:40,12.533575,77.755084,FALSE
user_582,9d06d9c3-9ecd-4e50-bf7f-036e69e13732,10738.91,17-03-2024 07:49,12.657095,77.689605,FALSE
user_2378,e9d79cc5-8be0-4893-89be-9b7e09add462,6304.7,05-09-2024 07:27,13.119446,77.075764,FALSE
user_2195,80f01d73-239a-4a9b-9370-a58328fbd3b8,12158.19,06-02-2025 14:26,13.389137,77.066384,FALSE
user_1273,07bca19f-f8fa-4db0-a6dd-d9c1b7859ca3,10324.79,14-07-2025 07:30,13.555259,77.623577,FALSE
user_620,b34328dc-8549-4a25-8c6d-50757fb77a6e,8581.2,25-01-2024 23:05,13.861862,77.043512,FALSE
user_1909,efc4c87d-f36e-4dd8-97fc-e2d25ac94896,18541.56,29-04-2025 07:15,13.773857,77.577995,FALSE
user_1680,5182fc25-1c81-4a87-a45f-f40360ec1f63,15179.47,16-10-2024 14:47,12.861407,77.484484,FALSE
user_553,7520c5d3-14e5-4cde-a784-35b228be963c,1580,22-09-2024 17:02,13.418918,77.096457,FALSE
user_603,3b9bb9b5-b656-4757-9e7e-346a56e78394,487.14,27-10-2024 03:00,12.481287,77.451855,FALSE
user_2258,406389e1-7b83-4292-9969-965ef37b81c4,6870.23,12-12-2024 10:11,13.412452,77.127703,FALSE
user_1809,a7d790f0-a936-4b9e-b43d-c32d775383f1,19118.56,28-05-2025 07:07,13.46573,77.392859,FALSE
user_2675,62e10662-f52b-42c3-8de4-e9de0209d5f5,3681.39,13-07-2025 00:33,12.173184,77.087909,FALSE
user_559,09bb24f4-9745-4dd4-9fe1-d330388ef7ca,13060.55,22-04-2024 23:19,13.382364,77.753188,FALSE
user_2826,e88402ea-03c7-47d0-968f-96b0ae3231d0,577.46,31-08-2025 16:28,12.739641,77.356906,FALSE
user_1026,3ffa9224-b8d2-4803-88ad-ca778006796b,17653.75,12-03-2024 09:06,13.281546,77.392054,TRUE
user_2669,2f0eee23-6ee2-4f23-bf28-541dfe12b0e3,2134.8,12-04-2025 13:03,13.578034,77.170201,FALSE
user_478,c8547446-ec45-4370-a02d-6c158fa4a176,7492.3,07-03-2024 07:39,12.33352,77.06403,TRUE
user_734,ba4cf7bd-31ed-4509-b3aa-31e6f559170e,18671.78,11-05-2024 16:14,13.119944,77.929281,FALSE
